Fecha, Calle, Tipo de Siniestro, Gravedad, Dia Semana, Hora, Departamento, Localidad, fixed, X, Y 
9/10/2020, AVENIDA ITALIA, ATROPELLO DE PEATÓN, LEVE, VIERNES, 13, SAN JOSE, SAN JOSE DE MAYO, 1, 527710, 6200995 
9/10/2020, DOROTEO NAVARRETE, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 17, CERRO LARGO, MELO, 1, 766720, 6415130 
9/10/2020, TORRES GARCIA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, CANELONES, SIN DATOS, 1, 571995, 6156650 
9/10/2020, AVENIDA JOSE BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 18, SALTO, SALTO, 1, 410370, 6527320 
9/10/2020, RUTA N° 11 KM. 65. PUENTE CAGANCHA., DESPISTE, SIN LESIONADOS, VIERNES, 19, SAN JOSE, SIN DATOS, 1, 540195, 6194935 
9/10/2020, RIVAS ERGUIS, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 21, COLONIA, COLONIA DEL SACRAMENTO, 1, 425610, 6188190 
10/10/2020, ZORRILLA DE SAN MARTIN, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 2, RIO NEGRO, FRAY BENTOS, 1, 378985, 6333860 
10/10/2020, CONCEJAL ANDRES NAPPA, COLISIÓN CON OBSTÁCULO EN CALZADA, SIN LESIONADOS, SÁBADO, 2, LAVALLEJA, MINAS, 1, 662065, 6196475 
10/10/2020, CONTINUACION AVENIDA AIGUA, DESPISTE, GRAVE, SÁBADO, 5, MALDONADO, MALDONADO, 1, 688825, 6134750 
10/10/2020, CAMINO BATLLE Y ORDOÑEZ, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 8, RIO NEGRO, SIN DATOS, 1, 376880, 6332520 
10/10/2020, RINCON, COLISIÓN ENTRE VEHÍCULOS, GRAVE, SÁBADO, 13, MALDONADO, SAN CARLOS, 1, 689625, 6147720 
10/10/2020, AVDA. TRILLO ESQUINA AVDA. ENRIQUE RODO, CAÍDA, LEVE, SÁBADO, 14, SALTO, SIN DATOS, 1, 411285, 6530735 
10/10/2020, GENERAL PABLO GALARZA, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 19, DURAZNO, DURAZNO, 1, 544615, 6305580 
10/10/2020, MONTECARLO E/ PAYSANDÚ Y FLORIDA, ATROPELLO DE ANIMALES, LEVE, SÁBADO, 17, CANELONES, EL PINAR, 1, 598165, 6150670 
10/10/2020, JUAN FARINA, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 18, LAVALLEJA, MINAS, 1, 661475, 6194785 
10/10/2020, RUTA NACIONAL OCHO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, SÁBADO, 19, CANELONES, PANDO, 1, 595650, 6157345 
10/10/2020, CALLE 53, COLISIÓN ENTRE VEHÍCULOS, LEVE, SÁBADO, 13, CANELONES, SOLYMAR, 1, 592980, 6146500 
11/10/2020, ANTONIO ORLANDO GIORDANO, CAÍDA, GRAVE, DOMINGO, 0, DURAZNO, DURAZNO, 1, 545730, 6305085 
4/12/2020, AVENIDA ESPAÑA, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 12, CERRO LARGO, MELO, 1, 765340, 6415175 
4/12/2020, CLEMENTE FREGEIRO, COLISIÓN ENTRE VEHÍCULOS, SIN LESIONADOS, VIERNES, 12, SORIANO, MERCEDES, 1, 404410, 6319695 
4/12/2020, COLON, COLISIÓN ENTRE VEHÍCULOS, LEVE, VIERNES, 15, CERRO LARGO, MELO, 1, 766030, 6415325 
4/12/2020, SIN DATOS, DESPISTE, LEVE, VIERNES, 18, ROCHA, SIN DATOS, 1, 750435, 6220270 
4/12/2020, MAXIMIANO LUZ, CAÍDA, LEVE, VIERNES, 17, RIVERA, RIVERA, 1, 635905, 6581100 
4/12/2020, CISNES, ATROPELLO DE ANIMALES, LEVE, VIERNES, 18, MALDONADO, MALDONADO, 1, 685525, 6136265 
4/12/2020, AVENIDA MANUEL PATULE, CAÍDA, LEVE, VIERNES, 16, SALTO, SALTO, 1, 408850, 6524785 
