Fecha y hora,Departamento,Localidad,Jurisdiccion ,Tipo de Siniestro,Vehiculo,Rol,Edad,Sexo,Fallecido a los Dias,Otro vehiculo,Lugar del Siniestro,X,Y
26/04/2018 00:01,MALDONADO,N/C,NACIONAL,DESPISTE,AUTO,PASAJERO,31,F,0,,RUTA 13 KM 185,,
28/04/2018 00:00,ROCHA,VALIZAS,NACIONAL,DESPISTE,AUTO,CONDUCTOR,57,M,0,,RUTA 10 KM 255,,
28/04/2018 05:25,MONTEVIDEO,MONTEVIDEO,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,45,M,6,MOTO,RUTA 5 ESQ. AVENIDA DOCTOR SANTIN CARLOS ROSSI,56.830.957.445.433,614.177.669.877.527
29/04/2018 19:30,ROCHA,CASTILLOS,DEPARTAMENTAL,COLISION CON OBSTACULO EN CALZADA,AUTO,PASAJERO,67,F,1,,DIECINUEVE DE ABRIL ESQ. NUNEZ,7.898.816.745,62.114.678.838
30/04/2018 07:00,TACUAREMBO,N/C,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,30,M,0,OMNIBUS,RUTA 5 KM 11,,
1/5/2018 8:15,COLONIA,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,,M,0,CAMION,RUTA 12 KM 125,,
1/5/2018 18:52,SORIANO,N/C,NACIONAL,DESPISTE,MOTO,CONDUCTOR,65,M,0,,RUTA 105 KM 22,,
1/5/2018 21:15,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION CON OBSTACULO EN CALZADA,MOTO,CONDUCTOR,31,M,0,,RAMON ALVAREZ ESQ. CAMINO PASO DE LA BOYADA,5.675.809.082,61.422.826.405
2/5/2018 21:00,CERRO LARGO,MELO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,70,F,5,AUTO,RUTA 8 ESQ. MUNOZ,76.721.291.129.477,641.397.113.798.235
3/5/2018 15:11,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,ATROPELLO DE PEATON,PEATON,PEATON,86,M,4,AUTO,JOSE BENITO LAMAS ESQ. ENRIQUE MUNOZ,5.769.827.239,61.363.972.722
3/5/2018 19:51,MONTEVIDEO,MONTEVIDEO,DEPARTAMENTAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,27,M,0,AUTO,DOCTOR JOSE MARIA SILVA ESQ. DIEULAFOY,5.741.335.567,6.144.387.568
4/5/2018 20:20,CANELONES,N/C,NACIONAL,COLISION ENTRE VEHICULOS,AUTO,CONDUCTOR,54,M,0,CAMIONETA,RUTA 11 KM 121,,
4/5/2018 20:20,CANELONES,N/C,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,CONDUCTOR,30,M,0,CAMIONETA,RUTA 11 KM 121,,
4/5/2018 20:20,CANELONES,N/C,NACIONAL,COLISION ENTRE VEHICULOS,MOTO,PASAJERO,24,F,0,CAMIONETA,RUTA 11 KM 121,,
6/5/2018 2:39,SAN JOSE,N/C,DEPARTAMENTAL,DESPISTE,CAMION,CONDUCTOR,62,M,0,,CALLE CAMINO NACIONAL,52.891.746.224.058,62.015.973.633.025
6/5/2018 18:37,COLONIA,N/C,NACIONAL,DESPISTE,MOTO,CONDUCTOR,62,M,0,,RUTA 1 KM 125,,
